Year,Research Title,Name of Faculty Researcher,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation,is_duplicate,authors,research_theme
2023,Assessing Pre-Service Teachers? People Skills: A Basis for Student Development Programs,Willa Mae M. Paredes,Completed,,,1st National GAD Research Conference  ,Via Zoom,National,"November 15-17, 2023",False,['Willa Mae M. Paredes'],Education
2023,SINEsilip: Taking a look at the Marcos? narrative in films through the years,Jimely Jane Estoya,Completed,2023-01-10,2023-02-02,Communication Research International Conference (CRIC) 2023 ,"UP Diliman, Quezon City",International,"November 17-18, 2023",False,['Jimely Jane Estoya'],Other
2023,Being Mama: An analysis on the representation of motherhood through mom influences in Facebook video,Andrea Gayle Saet,Completed,2023-01-10,2023-02-02,Communication Research International Conference (CRIC) 2023 ,"UP Diliman, Quezon City",International,"November 17-18, 2023",False,['Andrea Gayle Saet'],Other
2023,Student Acceptability & Comparative Analysis of the Effectiveness of the 3Es Learning Model in Skills Oriented Program,Liza Marie Manoos-Pacia ,Completed,2023-02-15,2023-06-15,2nd International on Education Studies,Tarlac Agricultural University ? via Zoom,International,"November 23-25, 2023",False,['Liza Marie Manoos-Pacia'],Education
2023,Establishing the Rural Urban and Rurban Profile of the  Province of Marinduque towards creating a Transectoral Development Plan for the Province,Anne Grace M. Labatete,Completed,2023-03-15,2023-08-15,2023 Philippine Society for Public Administration (PSPA) ,"Greenleaf Hotel, General Santos City",International,"November 24-26, 2023",False,['Anne Grace M. Labatete'],Other
2023,MSMEs Diagnostic Framework: Basis for Policy Development,Michael V. Capi�a,Completed,2023-01-25,2023-06-25,1st International Conference on Entrepreneurship and SME Development (ICESMED) 2023 ,"Malcom Hall, College of Law and Institute for Small Scale Industries, UP Diliman, Quezon City",International,"November 28-29, 2023",False,['Michael V. Capi�a'],Governance
2023,Distribution of Macroinvertebrate communities in seagrass and ecotones between adjacent habitats: Evidence of coastal habitats? linkage ,Regie F. Mampusti,Completed,2023-03-15,2023-08-15,"3rd International Multidisciplinary Conference on Engineering and Technology, Education, Management and Development Studies (3rd IMCETEMDS) ",Camarines Sur Polytechnic Colleges ,International,"November 28-29, 2023",False,['Regie F. Mampusti'],Other
2023,"Vulnerability to Climate Change of ""Giant Squid"" (Thysanoteuthis rhombus) Fishery in Marinduque, Philippines",Paloma D. De Chavez,Completed,2023-05-08,2023-05-11,Webinar Series on the National Consortium for the Small-Scale Fisheries Research and Development or Too-Big-To-Ignore (TBTI),Via Zoom,National,30/11/2023,False,['Paloma D. De Chavez'],Agriculture
2023,Nurturing Hope and Growth: Empowering Women and Men through Nypa frutican cultivation amidst adversity in Marinduque Island Province in 2020`,"Doreen R. Mascare�as
Harvey A. Dulay*
Wilson R. Paez",Completed,2023-09-25,2023-11-25,National Gender and Development Conference and Research Forum ,"Manila Grand Opera Hotel, Doroteo Hotel, Manila",National,"December 4-6, 2023",False,"['Doreen R. Mascare�as', 'Harvey A. Dulay*', 'Wilson R. Paez']",Other
2023,"Larval Development of Scissor River Prawn Macrobrachium latidactylus (Thallwitz, 1891) in a small hatchery in Marinduque, Philippines",Doreen R. Mascare�as,Completed,2023-01-15,2023-06-15,55th FIFMS Annual Convention ,"Tawi-Tawi College of Technology and Oceanography (MSU-TCTO), Tawi-Tawi",National,"December 6-8, 2023",False,['Doreen R. Mascare�as'],Other
2023,Level of Language and Communication Proficiency of the Barangay Secretaries of the Municipality of Mogpog: Basis for Creating an Enhanced Training Guide for Language and Communication  ,"Jholey Rose L. Lancion 
Jerome Lingon",Completed,2023-02-20,2023-05-20,Philippine Association for Language Teaching International Conference ,"Teacher?s Camp, Baguio City",International,"December 7-9, 2023",False,"['Jholey Rose L. Lancion', 'Jerome Lingon']",Other
2023,Curriculum-Based Instructional Material for Reading and Writing Skills,Ma. Jessica L. Semilla,Completed,2023-04-15,2023-08-15,Philippine Association for Language Teaching International Conference ,"Teacher?s Camp, Baguio City",International,"December 7-9, 2023",False,['Ma. Jessica L. Semilla'],Education
2023,Reading Comprehension Level in English Language of the Selected Alternative Learning System Learners,Jean Grace M. Solina,Completed,2023-03-20,2023-07-20,Philippine Association for Language Teaching International Conference ,"Teacher?s Camp, Baguio City",International,"December 7-9, 2023",False,['Jean Grace M. Solina'],Education
2023,"Performance characteristics of Sacol (Kappaphycus striatum) and Spinosum (Eucheuma denticulatum)  seaweed cultivars using coco coir as tying materials tested in open and cove areas in Mogpog, Marinduque ",Orlen M. Mallen,Completed,,2023-05-01,"3rd International Conference on Agriculture, Biosystems, and Technology (3rd IConABT)",Tarlac Agricultural University ? via Zoom,International,"December 11-12, 2023",False,['Orlen M. Mallen'],Agriculture
2023,"Efforts on selecting laboratory-reared seaweed cultivars and providing alternative livelihood through seaweed farming in Marinduque, Philippines",Regie F. Mampusti,Completed,,2023-10-01,"3rd International Conference on Agriculture, Biosystems, and Technology (3rd IConABT)",Tarlac Agricultural University ? via Zoom,International,"December 11-12, 2023",False,['Regie F. Mampusti'],Agriculture
2022,Practices of the MSC ESL Teachers towards Online Assessment amidst the COVID-19 Pandemic,Marieneth L. Malubag,Completed,2021-01-11,2022-05-03,"Linguistic Society of the Philippines International Conference 2022 & 21st English in Southeast Asia: A Joint Conference 
LSPIC 2022 & 21st ESEA",University of Sto. Tomas ? via Zoom,International,"March 10-12, 2022",False,['Marieneth L. Malubag'],Education
2022,A Positioning Analysis on the Competing Roles of an ?Academic? ?Mother?,Jholey Rose L. Lancion,Completed,2021-05-11,2022-05-03,"Linguistic Society of the Philippines International Conference 2022 & 21st English in Southeast Asia: A Joint Conference 
LSPIC 2022 & 21st ESEA",University of Sto. Tomas ? via Zoom,International,"March 10-12, 2022",False,['Jholey Rose L. Lancion'],Other
2022,"The Position of Marinduque Tagalog in the Linguistic Landscape of the Heritage Town of Boac, Marinduque",Cherie Ann M. Luna,Completed,2021-01-11,2022-05-03,"Linguistic Society of the Philippines International Conference 2022 & 21st English in Southeast Asia: A Joint Conference 
LSPIC 2022 & 21st ESEA",University of Sto. Tomas ? via Zoom,International,"March 10-12, 2022",False,['Cherie Ann M. Luna'],Tourism
2022,Meat Quality Markers Unveil the Markaduke Native Pig as Potential Source of Premium Pork Products ,Arnolfo M. Monleon ,Completed,2021-05-10,2022-05-03,89th General Membership Assembly of the National Research Council of the Philippines ,Manila,National,15/03/2022,False,['Arnolfo M. Monleon'],Other
2022,"MSCCA Island and Archipelagic Studies: Transition from Studies Center to Creative Hub with CCP, KWF and NCCA",Randy T. Nobleza,Completed,2021-10-15,2022-04-15,4th SOSS Research Conference  ,Ateneo De Manila University,Regional,"April 18-20, 2022",False,['Randy T. Nobleza'],Other
2022,"Utilizing Surveillance, Trust, and Democracy as an Online Pedagogy Amidst Pandemic 2021",Lorimer L. Imperio,Completed,2021-11-20,2022-03-20,"18th International Conference on Technology, Knowledge, and Society","National Changhua University of Education Taiwan, Province of China",International,"April 15-16-, 2022",False,['Lorimer L. Imperio'],Other
2022,"Phytoremediation of Potential Toxic Elements by Native Tree Species in Mined-spoiled soils in Matraszentimre, Hungary",Jovito L. Ope�a,Completed,2022-01-30,2022-04-30,6th International Symposium on Biosphere and Environmental Safety ,"Obuda University, Budapest, Hungary",International,"May 5-6, 2022",False,['Jovito L. Ope�a'],Other
2022,Semen Characterization of Markaduke Boars Improve Litter size production,"Joeauna L. Loto
Giselle M. Perlas",Completed,2022-10-02,2022-10-05,"2nd International Research Conference in Sciences, Education, and Sports (IRCISES)",via Zoom,International,"May 21-23, 2022",False,"['Joeauna L. Loto', 'Giselle M. Perlas']",Other
2022,Will Economic Capability and Technological Availability Affect Graduate Competencies: An Exploratory Study of BSIT/BSIS Programs this Pandemic,"Maria Nessa M. Solomon
Ivy Joy N. Aguiflor",Completed,2022-05-01,2022-05-05,International Conference on Assessment in the New Normal (ICANN 2022),Jose Rizal Memorial State University,International,"May 25-27, 2022",False,"['Maria Nessa M. Solomon', 'Ivy Joy N. Aguiflor']",Other
2022,Carps? Ready to Face it? The Information System Students? Readiness for F2F Classes,Arben A. Ornedo ,Completed,2022-05-01,2022-05-05,International Conference on Assessment in the New Normal (ICANN 2022),Jose Rizal Memorial State University,International,"May 25-27, 2022",False,['Arben A. Ornedo'],Education
2022,Adequacy of BS LEAD Criminalistics Laboratory: The Significance to Learning Modality and Conversion to BS Criminology ,"Jayceron L. Monteagudo
Vergel L. Mayo",Completed,2022-01-15,2022-05-15,1st International Multidisciplinary Virtual Research Conference,1st International Multidisciplinary Virtual Research Conference,International,"June 24-26, 2022",False,"['Jayceron L. Monteagudo', 'Vergel L. Mayo']",Education
2022,Factors Involved In The Contemporary Authenticity Of Tourist Industry In Marinduque Province,"Merryrose Palma
Angielyn D. Marquez",Completed,2022-10-01,2022-10-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Palma', 'Angielyn D. Marquez']",Tourism
2022,"Development, Validity And Evaluation Of Contextualized Strategic Intervention Materials (Csims) In Specific Competencies In Science 10",Jimbert S. Cede�o,Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Jimbert S. Cede�o'],Other
2022,"Assessment Of The Environmental Impact Of Tourism On The Selected Natural Attractions Of Buenavista, Marinduque","Merryrose Palma
Diane Babes L. Dela Cruz",Completed,2022-01-20,2022-05-20,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Palma', 'Diane Babes L. Dela Cruz']",Tourism
2022,Assessment on E-Governance Implementation: Experience of the Municipality of Buenavista,Anne Grace M. Labatete,Completed,2022-10-01,2022-10-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Anne Grace M. Labatete'],Other
2022,Socio-Cultural Impacts Of Tourism As Perceived By Host Community And Tourists In Torrijos Marinduque,"Merryrose Palma
Frecious R. Reataza",Completed,2022-10-01,2022-10-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Palma', 'Frecious R. Reataza']",Tourism
2022,The Multicultural Workplace: Preparing Hotel Employees In The Municipality Of Boac,"Merryrose Palma
Jelyn Mae S. Manahan",Completed,2022-01-20,2022-06-20,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Palma', 'Jelyn Mae S. Manahan']",Tourism
2022,"Inventory Management Practices of Selected Cooperatives in Buenavista and Mogpog, Marinduque","Mark Rey U. Tan
Maeflor M. Loto,
Margie P. Fatalla",Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Mark Rey U. Tan', 'Maeflor M. Loto', 'Margie P. Fatalla']",Other
2022,The Perception Of The Selected Penitentes In New Normal Of Moriones Lenten Rites In Boac,"Merryrose Palma
Joemel R. Ormacido",Completed,2022-01-20,2022-05-20,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Palma', 'Joemel R. Ormacido']",Other
2022,"Inventory Management Practices of Selected Business Establishments in Boac and Mogpog, Marinduque","Mark Rey U. Tan
 Bernadette M. Magaling, 
John Lester M. Manuba,
 Hajji Rod M. Ola",Completed,2022-01-02,2022-01-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Mark Rey U. Tan', 'Bernadette M. Magaling', 'John Lester M. Manuba', 'Hajji Rod M. Ola']",Other
2022,"Impacts Of Local Traveling In Selected Destinations In The Municipality Of Mogpog, Marinduque During The ""New Normal?","Merryrose Palma 
Kayla Monic J. del Mundo",Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Palma', 'Kayla Monic J. del Mundo']",Tourism
2022,Credit Risk Management Practices Of Selected Cooperatives In Marinduque,"Mark Glenn M. Mamugay, 
Elizabeth J. Bundalian, 
Alaiza M. Eclavea, 
Carrel Sadiwa, 
Aira A. Linga,
Michael Jaye P. Ribleza",Completed,2022-01-02,2022-01-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Mark Glenn M. Mamugay', 'Elizabeth J. Bundalian', 'Alaiza M. Eclavea', 'Carrel Sadiwa', 'Aira A. Linga', 'Michael Jaye P. Ribleza']",Other
2022,"Impacts Of The Pandemic On The Livelihoods Of Beach Resort Tourism Workers In Boac, Marinduque","Merryrose Palma
 Marife R. Laman",Completed,2022-01-02,2022-01-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Palma', 'Marife R. Laman']",Tourism
2022,"Narratives About Cave Of Filipino Guerrillas In Pili, Mogpog, Marinduque",Michael V. Capina,Completed,2022-01-25,2022-05-25,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Michael V. Capina'],Other
2022,"Impact Of Folk Songs In Boac, Marinduque: Basis In Local Tourism Industry","Merryrose Red Palma 
Rea Hanna L. Embing",Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Merryrose Red Palma', 'Rea Hanna L. Embing']",Tourism
2022,Life and Career of Former PNP Director General Santiago Rafael Alino of Marinduque: A Documentation,"Jayceron L. Monteagudo
John Alexis Lumagu",Completed,2022-01-02,2022-01-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Jayceron L. Monteagudo', 'John Alexis Lumagu']",Other
2022,Hibla Local Filipina Summer Arts Workshop: Book Nook Marinduque's contribution to MSC's 70th foundation,Randy Nobleza,Completed,2022-01-25,2022-05-25,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Randy Nobleza'],Other
2022,An Analysis of Language Use and Behaviour of AB-English Students in E-Chatrooms at Marinduque State College,Annie Joy A. Reca�a,Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Annie Joy A. Reca�a'],Education
2022,"Assessment On Financial Performance Of Multi-Purpose Cooperatives In Mogpog, Marinduque: Basis For Extension",Aira Mariz M. Miranda,Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Aira Mariz M. Miranda'],Other
2022,"Bookkeeping Practices of Selected Agriculture Cooperatives in Buenavista and Torrijos , Marinduque: Basis for Intervention","Allynna Joy Iba�ez , 
Anna Joy Talan,
 Gener Udanga ",Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Allynna Joy Iba�ez', 'Anna Joy Talan', 'Gener Udanga']",Agriculture
2022,Language in Media: An Analysis of Linguistic Features of Selected News Text from Various News Publishers Online,Chinny P. Go,Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Chinny P. Go'],Other
2022,"Bookkeeping Practices of Selected Hog-raising Ventures in Buenavista and Gasan, Marinduque: Basis for Intervention",Jhea Mae R. Malapote,Completed,2022-01-02,2022-01-06,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Jhea Mae R. Malapote'],Other
2022,Cash Flow Management Practices of Selected Agribusiness in Marinduque,"Julie Ann B. Perlas,
 Jemma M. Ricamata",Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Julie Ann B. Perlas', 'Jemma M. Ricamata']",Other
2022,"Cash Flow Management Practices Of Selected Cooperatives In Mogpog And Santa Cruz, Marinduque: Basis For Intervention","Lindly Lance M. Lecaros, Ramina M. Rey, 
Jenyza D. Rojo",Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,"['Lindly Lance M. Lecaros', 'Ramina M. Rey', 'Jenyza D. Rojo']",Other
2022,Noon At Ngayon: A Comparative Analysis Of Language Styles Of News Writers,Lorevic DS. Quimora,Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Lorevic DS. Quimora'],Other
2022,Language And Health Communication: A Morphological Analysis Of The Covid-19 Pandemic Neologisms,Georgina Alexis Rey,Completed,2022-05-01,2022-05-05,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,30/06/2022,False,['Georgina Alexis Rey'],Health
2022,Adjacent mangroves and coral reef influence abundance and diversity of seagrass associated macroinvertebrates,Regie F. Mampusti,Completed,2022-03-15,2022-07-15,"2nd International Conference on Agriculture, Biosystems and Technology (IConABT",Tarlac Agricultural University (TAU),International,"August 25-26, 2022",False,['Regie F. Mampusti'],Other
2022,Color and Image Analysis Approach in Determination of Soluble Copper in Water Using Tannic Reaction Analysis,Jan Fern Historillo Marife Rosales Menandro Merlin Evangeline B. Mandia,Completed,2022-01-03,2022-01-09,5th International Conference on Intelligent Computing &  Optimization ? Optimization Conferences Resources,via videoconferencing,International,"October 27-28, 2022",False,['Jan Fern Historillo Marife Rosales Menandro Merlin Evangeline B. Mandia'],Other
2022,Anxiety Level of Students and Teachers in Marinduque State College on the Resumption of Face-to-face Classes in the New Normal,"Doreen R. Mascare�as
Emelita R. Rodelas
Marilyn A. Mayores
Desiree Anne Sto.Domingo",Completed,2022-06-15,2022-10-15,11th MHRDC Health Research  Forum, via Zoom,Regional,"November 10-11, 2022",False,"['Doreen R. Mascare�as', 'Emelita R. Rodelas', 'Marilyn A. Mayores', 'Desiree Anne Sto.Domingo']",Education
2022,An outlook of the demand for salt of the Fish processing industry in Marinduque,"Harvey A. Dulay, Doreen R. Mascare�as, John Paul R. Mataya, Reyalyn V. Malapad,
Cherry Rose Robles, Frederick Ciriaco, and Eulogio R. Medina, Jr.",Completed,2022-01-07,2022-01-10,"1st Philippine
Salt Congress 2022 ",Pangasinan State University,National,"November 26-27, 2022",False,"['Harvey A. Dulay', 'Doreen R. Mascare�as', 'John Paul R. Mataya', 'Reyalyn V. Malapad', 'Cherry Rose Robles', 'Frederick Ciriaco', 'and Eulogio R. Medina', 'Jr.']",Other
2022,Solar Salt Production: The Marinduque State College Experience,"Eulogio R. Medina, Jr., Doreen R. Mascare�as, Harvey A. Dulay and Alexander M. Pascua",Completed,2022-06-15,2022-10-15,"1st Philippine
Salt Congress 2022 ",Pangasinan State University,National,"November 26-27, 2022",False,"['Eulogio R. Medina', 'Jr.', 'Doreen R. Mascare�as', 'Harvey A. Dulay and Alexander M. Pascua']",Other
2022,Teaching Literature in the New Normal Landscape: Best Practices and Challenges,Nikka Mae J. Adling,Completed,2022-08-15,2022-11-15,4th International Conference on Interdisciplinary Research Innovations ,La Consolacion University ? Bulacan ,International,"December 2-4, 2022",False,['Nikka Mae J. Adling'],Other
2022,"Composition structure of mangrove forest in Marinduque, Philippines",Orlen F. Mores-Mallen,Completed,2022-01-05,2022-01-11,"2nd International Multidisciplinary Conference on Engineering, Technology, Education, Management and Development Studies ",Camarines Sur Polytechnic Colleges ,International,"December 9-10, 2022",False,['Orlen F. Mores-Mallen'],Other
2022,Water Quality parameters of abandoned lake ,Regie F. Mampusti,Completed,2022-01-07,2022-01-12,"2nd International Multidisciplinary Conference on Engineering, Technology, Education, Management and Development Studies ",Camarines Sur Polytechnic Colleges ,International,"December 9-10, 2022",False,['Regie F. Mampusti'],Other
2022,Examination question classification based on revised Bloom?s Taxonomy using Na�ve Bayes classifier,Kierven A. Villaruel,Completed,2022-06-15,2022-11-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom ",Regional,"December 19-20, 2022",False,['Kierven A. Villaruel'],Other
2022,QR Code Security: A Bitplane attack resistant multi-image stenography,"Ronjie Mar L. Malinao
Eunice G. de Luna-Malinao",Completed,2022-07-15,2022-12-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Ronjie Mar L. Malinao', 'Eunice G. de Luna-Malinao']",Other
2022,Future Energy: Analysis of weather data to  forecast photovoltaic solar energy harvest,"Eunice G. de Luna-Malinao
Ronjie Mar L. Malinao",Completed,2022-06-15,2022-12-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Eunice G. de Luna-Malinao', 'Ronjie Mar L. Malinao']",Other
2022,AI in Higher Education: Unveiling Faculty Perspective Towards AI through UTAUT Approach,Ryan Clifford L. Perez,Completed,2022-05-15,2022-09-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Ryan Clifford L. Perez'],Education
2022,Flood simulation software through CFD Modelling ,Rester S. Jinang,Completed,2022-01-06,2022-01-12,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Rester S. Jinang'],Other
2022,Digitalization of MSMEs through Development and Implementation of Sales and Inventory Management System (SIMS) Based on Production Monitoring,"Julieta Q. Nabos
Art Jervin L. Magcamit
Christine May L. Nabos
Doreena Joy Capistrano-Borja",Completed,2021-01-11,2022-01-11,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Julieta Q. Nabos', 'Art Jervin L. Magcamit', 'Christine May L. Nabos', 'Doreena Joy Capistrano-Borja']",Other
2022,The Effect of Moringa Leaf Extract in the Growth and Yield Performance of Eggplant (Solanum melongena).,Lorraine Joyce Tirao,Completed,2022-01-04,2022-01-07,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Lorraine Joyce Tirao'],Other
2022,"Growing Okra (Abelmoschus esculentus�L.) in Coconut Based Planter Box Supplemented with Different Levels of Biochar, Cocopeat, and Garden Soil Under Drought Condition in Torrijos, Marinduque.",Mariel R. Roldan,Completed,2022-01-03,2022-01-07,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Mariel R. Roldan'],Other
2022,Market Driven Upscale Productivity (MARKUP) of Markaduke,Jeremie R. Robles,Completed,2022-03-15,2022-11-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Jeremie R. Robles'],Other
2022,Effect of Different Levels of Fermented Banana Pseudostem with Molasses as Foliar Fertilizer to the Growth and Yield Performance of Eggplant (Solanum melongena).,Krisha M. Pati�o,Completed,2022-01-03,2022-01-09,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Krisha M. Pati�o'],Other
2022,Major Factors Affecting Carrot Production in Benguet and Negros Oriental.,Genesi Mae B. Ballesteros and Kristine Joy R. Fidelino,Completed,2022-01-04,2022-01-08,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Genesi Mae B. Ballesteros and Kristine Joy R. Fidelino'],Other
2022,Market Driven Upscale Productivity (MARKUP) of Markaduke,Joeauna O. Larga-Loto,Completed,2022-07-15,2022-12-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",True,['Joeauna O. Larga-Loto'],Other
2022,"Survey of Native Pig Management Practices in Boac, Marinduque: Basis for Production Efficiency and Profitability",Reyalyn V. Malapad,Completed,2022-02-15,2022-05-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Reyalyn V. Malapad'],Other
2022,Field Testing of Laboratory-reared Seaweed Cultivars from PSU-MSL Culture Facilities to MIMAROPA Region,"Floredel Dangan-Galon, Regie F. Mampusti,
Billy S. Saguimo, 
Roselle S. Sua",Completed,2022-01-15,2022-12-15,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Floredel Dangan-Galon', 'Regie F. Mampusti', 'Billy S. Saguimo', 'Roselle S. Sua']",Agriculture
2022,Preliminary Characterization of Markaduke Boar Sperm Motion Kinematics,"Giselle M. Perlas
Jeremie R. Robles
Michelle L. Se�o
Joeauna L. Loto",Completed,2022-01-03,2022-01-08,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Giselle M. Perlas', 'Jeremie R. Robles', 'Michelle L. Se�o', 'Joeauna L. Loto']",Other
2022,Acceptability of Healthy Bread Flavored with Bitter Gourd (Momordica charantia),"Pinky May R. Nicolas
Noelina DM. Ricafranca
Loverell Rejano
Kristine Joy R. Fidelino
Cherry Rose M. Robles",Completed,2022-01-04,2022-01-07,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Pinky May R. Nicolas', 'Noelina DM. Ricafranca', 'Loverell Rejano', 'Kristine Joy R. Fidelino', 'Cherry Rose M. Robles']",Health
2022,Book Nook Marinduque through Hibla Local Filipina creative and talent output in selected Marinduque Districts: Basis for Island and Archipelagic Heritage Studies online course,Randy T. Nobleza,Completed,2022-01-05,2022-01-11,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,['Randy T. Nobleza'],Tourism
2022,"Impact of legislative actions enacted by the sangguning bayan of Sta. Cruz, Marinduque: 2016-2019","Eran Jefferson P. Orejuila
Wilmer L. Imperio II
Anne Grace M. Labatete",Completed,2022-04-20,2022-08-20,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Eran Jefferson P. Orejuila', 'Wilmer L. Imperio II', 'Anne Grace M. Labatete']",Governance
2022,Assessment on the relevance of knowledge acquired by the Bachelor of Public Administration students as applied on their practicum: Basis for Curriculum Enhancement,"Evangeleen M. Prado
Anne Grace M. Labatete",Completed,2022-05-08,2022-05-12,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022",False,"['Evangeleen M. Prado', 'Anne Grace M. Labatete']",Education
