Year,Research Title,Name of Faculty Researcher,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation,is_duplicate,authors,research_theme
2021,"Profiling The Rural, Urban And Rurban Characteristics Of The Province Of Marinduque",Anne Grace M. Labatete,Completed,2021-01-15,2021-09-15,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Anne Grace M. Labatete'],Other
2021,Effects On The Academic Performance Of Selected Entrepreneurship Students In Marinduque State College Before And During The Covid-19 Pandemic,Donabel T. Magahis,Completed,2021-03-01,2021-07-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Donabel T. Magahis'],Education
2021,Perception Of E-Wallets As The Mode Of Payment For Online Enrolment In Msc,Ryan Clifford L. Perez,Completed,2021-03-01,2021-07-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Ryan Clifford L. Perez'],Other
2021,Sda-Base Monte Carlo Simulation For Road Project Scheduling,Rester S. Jinang,Completed,2021-04-01,2021-07-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Rester S. Jinang'],Other
2021,Utilization Of Geotextile From Butuhan (Musa Balbisiana) Pseudo-Stem Fibers,"Valerie N. Linga, Rubicar L. Victorio, John Patrick M. Mandalihan, Wilmar R. Montemar, Kaye Ann Mae M. Ramos",Completed,2021-03-01,2021-08-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,"['Valerie N. Linga', 'Rubicar L. Victorio', 'John Patrick M. Mandalihan', 'Wilmar R. Montemar', 'Kaye Ann Mae M. Ramos']",Other
2021,Digital Analysis On The Matureness Of Coconut Fruit Through Acoustic Classification And Processing: Basis For The Development Of Coconut Husk Maturity Testing Device,Teodoro M. Ricamara,Completed,2020-10-01,2021-10-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Teodoro M. Ricamara'],Other
2021,"Heritage Tourism Potential Of The Former Mining Site In Marinduque Island, Philippines",Lenni Grace Labay Sapungan,Completed,2021-01-01,2021-09-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Lenni Grace Labay Sapungan'],Tourism
2021,"Level Of Satisfaction Of Barangay Pili, Mogpog On The Programs And Services Delivered By The Local Government Unit","Generoso E. Udanga
Ronalyn Motol
Keisha Udanga",Completed,2021-05-01,2021-10-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,"['Generoso E. Udanga', 'Ronalyn Motol', 'Keisha Udanga']",Governance
2021,Physical Environment Quality Of The Roll On/Roll-Off Transport Boats Serving The Marinduque-Lucena Route For Tourism Industry,Lenni Grace Labay Sapungan,Completed,2021-03-01,2021-07-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Lenni Grace Labay Sapungan'],Tourism
2021,Tourism Marketing Practices Of Selected Beaches In Santa Cruz Marinduque: Basis For Marketing Plan,"Grace Joy Pastrana, Ronnielle Par, Angelica Rey, Jeanie May P. Palatino",Completed,2021-02-01,2021-07-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,"['Grace Joy Pastrana', 'Ronnielle Par', 'Angelica Rey', 'Jeanie May P. Palatino']",Tourism
2021,"Tourism Marketing Practices Of Luzon Datum In Mogpog, Marinduque: Basis For Marketing Plan","Jeiszel M. Milambiling, Merryrose Red Palma",Completed,2021-01-01,2021-07-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,"['Jeiszel M. Milambiling', 'Merryrose Red Palma']",Tourism
2021,"Needs, Wants And Intentional Factors Affecting Tourists To Return In Marinduque: Basis For Crafting A Sustainable Tourism Industry",Lynle N. Mendoza,Completed,2021-02-01,2021-08-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,['Lynle N. Mendoza'],Tourism
2021,Hanap-Bahay App: A Rental House Management Application,"Kierven A. Villaruel,
Bellie Joe M. Jandusay
Jonazelle M. Nambio
Felix Lazarus N. Limpiada
Jiezelle M. Gasoc",Completed,2021-04-01,2021-08-01,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 ",False,"['Kierven A. Villaruel', 'Bellie Joe M. Jandusay', 'Jonazelle M. Nambio', 'Felix Lazarus N. Limpiada', 'Jiezelle M. Gasoc']",Other
