Year,Campus,Program,Year of Initial Operation,Level 1,Level 2,Level 3,Level 4,CS,NA,"FROM
(mm/dd/yyyy)","TO
(mm/dd/yyyy)"
2023,Boac,Bachelor of Secondary Education,1986-1987,Level III Re- Accredited,"October 1, 2022",45170,,,,,
2023,Boac,BS in Civil Engineering,1998-1999,Level III Re- Accredited,"May 16, 2021","May 15, 2025",,,,,
2023,Boac,BS in Electrical Engineering,1998-1999,Level III Re- Accredited,"May 16, 2021","May 15, 2025",,,,,
2023,Boac,BS in Computer Engineering,2008-2009,Level III Re- Accredited,"July 1, 2021","June 30, 2025",,,,,
2023,Boac,BS in Electronics Engineering,2008-2009,Level III Re- Accredited,"July 1, 2021","June 30, 2025",,,,,
2023,Boac,BS in Information Systems,1998-1999,Level III Re- Accredited,"January 1, 2020","December 31, 2023",,,,,
2023,Boac,BS in Information Technology,1998-1999,Level III Re- Accredited,"January 1, 2020","December 31, 2023",,,,,
2023,Boac,"BS in Industrial Technology maj in Automotive, Mechanical, Food, Electrical, Drafting, Refrigiration & Air conditioning & Welding and fabrication",1989-1990,Level III Re- Accredited,"January 1, 2020","December 31, 2023",,,,,
2023,Boac,BA in Communication,2010-2011,Level III Re- Accredited,"October 16, 2021","October 15, 2025",,,,,
2023,Boac,BA in English Language Studies,2006-2007,Level III Re- Accredited,"October 16, 2021","October 15, 2025",,,,,
2023,Boac,BS in Entrepreneurship,2006-2007,Level III Re- Accredited,"July 1, 2021","June 30, 2025",,,,,
2023,Boac,BS in Nursing,2006-2007,Level III Re- Accredited,"July 1, 2021","June 30, 2025",,,,,
2023,Boac,Bachelor of Public Administration,2012-2013,Level II Re- Accredited,"July 1, 2022","June 30, 2026",,,,,
2023,Boac,BS in Social Work,2013-2014,Level II Re- Accredited,"July 1, 2022","June 30, 2026",,,,,
2023,Boac,BS in Mechanical Engineering,2013-2014,Level II Re- Accredited,"July 1, 2022","June 30, 2026",,,,,
2023,Boac,BS in Accounting Information System,2013-2014,Level II Re- Accredited,"July 1, 2022","June 30, 2026",,,,,
2023,Boac,BS in Law Enforcement Administration,2008-2009,Accreditable,N/A,N/A,,,,,
2023,Boac,BS in Environmental Science,2013-2014,Accreditable,N/A,N/A,,,,,
2023,Boac,Bachelor in Culture and Arts Education,2018-2019,Accreditable,N/A,N/A,,,,,
2023,Boac,Bachelor in Technology and Livelihood Education major in Home Economics,2018-2019,Accreditable,N/A,N/A,,,,,
2023,Boac,BS in Accountancy,2018-2019,Accreditable,N/A,N/A,,,,,
2023,Boac,BS in Business Administration,2018-2019,Accreditable,N/A,N/A,,,,,
2023,Gasan,BS in Fisheries,1985-1986,Level 3,"July 1, 2021","June 30, 2025",,,,,
2023,Sta. Cruz,Bachelor of Elementary Education major in   Pre-Elementary & General Education  ,1992-1993,Level 3,"December 16, 2020","December 15, 2024",,,,,
2023,Sta. Cruz,AB in Political Science,1992-1993,Level 2,"October 1, 2022",45170,,,,,
2023,Sta. Cruz,BS in Information Systems (SC),1998-1999,Level 2,44378,46174,,,,,
2023,Sta. Cruz,BS in Tourism Management,2007-2008,Level 3,"July 1, 2021","June 30, 2025",,,,,
2023,Sta. Cruz,,,,,,,,,,
2023,Torrijos,BS in Agricultural Technology,2012-2013,Level 2,N/A,N/A,,,,,
2023,Torrijos,BS Entrep major in Agri business,2012-2013,Level 2,"November 1, 2018","October 31, 2022",,,,,
2023,Torrijos,BS in Agriculture,2006-2007,Level 2,"July 1, 2022","June 30, 2026",,,,,
2023,Torrijos,,,,,,,,,,
2023,Torrijos,,,,,,,,,,
